date,amount,category
2020-01-01,89.92,groceries
2020-01-01,48.74,entertainment
2020-01-01,39.08,groceries
2020-01-01,48.36,groceries
2020-01-01,77.36,groceries
2020-01-01,73.46,groceries
2020-01-01,57.16,groceries
2020-01-01,75.94,groceries
2020-02-01,76.29,healthcare
2020-02-01,16.09,entertainment
2020-02-01,82.62,groceries
2020-02-01,21.61,utilities
2020-02-01,43.55,entertainment
2020-02-01,28.57,car
2020-02-01,86.28,groceries
2020-02-01,43.51,housing
2020-02-01,7.93,car
2020-03-01,51.83,groceries
2020-03-01,48.8,travel
2020-03-01,30.33,groceries
2020-03-01,85.14,groceries
2020-03-01,96.06,groceries
2020-03-01,66.16,housing
2020-03-01,53.73,groceries
2020-03-01,64.25,healthcare
2020-03-01,94.17,groceries
2020-04-01,65.61,housing
2020-04-01,11.49,travel
2020-04-01,88.06,groceries
2020-04-01,58.63,groceries
2020-04-01,28.14,groceries
2020-04-01,32.49,utilities
2020-04-01,6.55,groceries
2020-04-01,94.11,groceries
2020-05-01,1.19,groceries
2020-05-01,56.66,groceries
2020-05-01,49.05,entertainment
2020-05-01,41.46,healthcare
2020-05-01,71.48,entertainment
2020-05-01,32.84,groceries
2020-05-01,78.47,entertainment
2020-05-01,29.33,groceries
2020-06-01,87.67,groceries
2020-06-01,44.3,housing
2020-06-01,56.0,entertainment
2020-06-01,66.25,travel
2020-06-01,97.5,healthcare
2020-06-01,29.02,groceries
2020-06-01,97.86,groceries
2020-07-01,47.77,housing
2020-07-01,80.89,groceries
2020-07-01,21.09,utilities
2020-07-01,4.62,car
2020-07-01,96.13,utilities
2020-07-01,12.53,groceries
2020-07-01,35.77,entertainment
2020-08-01,82.73,healthcare
2020-08-01,47.77,groceries
2020-08-01,74.13,groceries
2020-08-01,38.33,entertainment
2020-08-01,65.55,housing
2020-08-01,6.29,groceries
2020-08-01,25.23,groceries
2020-09-01,49.51,travel
2020-09-01,17.92,entertainment
2020-09-01,74.69,travel
2020-09-01,89.4,groceries
2020-09-01,55.0,travel
2020-09-01,81.93,utilities
2020-09-01,57.69,healthcare
2020-09-01,22.22,entertainment
2020-09-01,13.22,entertainment
2020-09-01,77.76,groceries
2020-09-01,13.22,groceries
2020-10-01,57.58,groceries
2020-10-01,4.0,car
2020-10-01,20.48,utilities
2020-10-01,15.74,utilities
2020-10-01,59.31,entertainment
2020-10-01,15.31,groceries
2020-10-01,96.55,groceries
2020-10-01,91.65,entertainment
2020-10-01,50.04,groceries
2020-10-01,80.78,groceries
2020-11-01,71.81,groceries
2020-11-01,24.68,housing
2020-11-01,69.69,healthcare
2020-11-01,56.34,groceries
2020-12-01,66.58,entertainment
2020-12-01,76.24,utilities
2020-12-01,81.17,groceries
2020-12-01,47.01,car
2020-12-01,71.57,groceries
2020-12-01,73.81,utilities
2020-12-01,9.22,healthcare
2020-12-01,32.22,travel
2020-12-01,5.72,entertainment
2020-12-01,73.53,groceries
2021-01-01,70.84,entertainment
2021-01-01,99.42,entertainment
2021-01-01,37.04,healthcare
2021-01-01,90.98,healthcare
2021-01-01,58.67,healthcare
2021-01-01,92.68,groceries
2021-01-01,65.82,groceries
2021-01-01,99.58,groceries
2021-01-01,16.65,healthcare
2021-01-01,10.93,groceries
2021-02-01,33.45,groceries
2021-02-01,70.84,travel
2021-02-01,34.73,entertainment
2021-02-01,46.42,groceries
2021-02-01,91.4,healthcare
